Census Tract,Population,Housing Units in Tract,"LI, LA - 1 mile radius","LI, LA - 0.5 mile radius",Low Income Tracts,Poverty Rate (%),Median Family Income,LA - 1 mile radius,LA - 0.5 mile radius,"LA,LI - 0.5 mile radius","LA - Kids population, 0.5 mile radius","LA - Senior population, 0.5 mile radius","LA - Kids population, 1 mile radius","LA - Senior population, 1 mile radius","LA - Housing Units w/ Snap Benefits, 0.5 mile radius","LA - Housing Units w/ Snap Benefits, 1 mile radius",Total Count of Housing w/ Snap Benefits,Snap Percentage
42101013800,2061,827,0,1,1,27.23492723,44688.0,0,1,946.8931959,426.1599306,171.6604591,,,190.9572502,,270,32
42101013900,3764,1287,0,1,1,37.32798165,41371.0,0,1,1123.32673,592.7915341,149.2513629,,,235.9752996,,432,33
42101014000,3010,1268,0,0,1,44.24985406,31223.0,0,0,,,,,,,,248,19
42101014100,2094,937,0,0,1,28.78083661,48850.0,0,0,,,,,,,,574,61
42101014200,3570,1813,0,0,0,4.554588078,131250.0,0,0,4.174558997,0.491951898,1.475855649,,,0.210804828,,25,1
42101014300,1439,680,0,0,0,14.31670282,116912.0,0,1,257.7459723,150.5231339,134.2350312,,,45.35683204,,67,9
42101014400,3105,1307,0,0,1,27.3412001,63224.0,0,0,,,,,,,,377,28
42101014500,2464,659,0,0,1,46.29958555,39107.0,0,0,,,,,,,,323,49
42101014600,4289,1163,0,0,1,30.59079377,55917.0,0,0,,,,,,,,242,20
42101014700,3939,958,0,0,1,71.61425577,11630.0,0,0,,,,,,,,336,35
42101014800,785,372,0,0,1,48.30097087,36181.0,0,0,28.27305984,5.938676357,12.35583687,,,9.207151175,,202,54
42101014900,3967,1633,0,1,1,41.91750279,27083.0,0,1,696.1967688,196.7986112,170.4943483,,,166.178926,,685,41
42101015101,2038,782,0,1,1,48.67994442,30417.0,0,1,580.6372675,234.7556683,97.84448351,,,164.5425995,,369,47
42101015102,4269,1794,0,0,1,45.27813713,25208.0,0,0,258.3399458,109.4865484,54.86576033,,,82.11827445,,908,50
42101015200,6133,1936,0,0,1,53.94055609,23341.0,0,0,,,,,,,,871,44
42101015300,4962,1434,0,1,1,64.08839779,26548.0,0,1,1781.856813,293.1559273,117.3047465,,,158.272782,,215,14
42101015600,1741,607,0,0,1,43.00549786,25185.0,0,0,,,,,,,,322,53
42101015700,2641,936,0,0,1,27.04978038,44688.0,0,0,,,,,,,,276,29
42101015800,5684,2598,0,0,0,10.84064106,104511.0,0,1,215.0072638,73.0971489,49.2262972,,,31.15596017,,309,11
42101016000,7002,2854,0,0,1,14.50238336,65724.0,0,0,,,,,,,,444,15
42101016100,5590,1945,0,0,1,23.02369832,55500.0,0,0,,,,,,,,590,30
42101016200,2225,769,0,0,1,43.83445946,31318.0,0,0,,,,,,,,446,57
42101016300,3248,1031,0,0,1,46.90751445,19748.0,0,0,,,,,,,,816,79
42101016400,4564,1485,0,0,1,43.43456412,33023.0,0,0,,,,,,,,1086,73
42101016500,2758,989,0,0,1,69.5954488,14159.0,0,0,,,,,,,,606,61
42101016600,1788,586,0,0,1,49.87357775,,0,0,,,,,,,,248,42
42101016701,3055,1171,0,0,1,39.67112025,34500.0,0,0,31.09837232,12.69408407,5.885430271,,,7.311426736,,363,30
42101016702,2903,1119,0,0,1,46.38211382,27364.0,0,0,18.04489976,5.992057025,2.249364786,,,4.059842557,,440,39
42101016800,3935,1515,0,0,1,45.7337884,26250.0,0,0,,,,,,,,658,43
42101016901,3466,1364,0,0,1,38.78939828,33190.0,0,0,,,,,,,,574,42
42101016902,5524,2191,0,1,1,49.2639436,20703.0,0,1,900.0283798,308.9047399,147.7019454,,,219.9335447,,843,38
42101017000,2953,1216,0,0,1,26.46855563,64000.0,0,0,33.70322603,47.12893438,25.36059433,,,18.66451761,,285,23
42101017100,4047,1570,0,0,1,17.06586826,47527.0,0,0,133.8899487,69.11846936,56.8029933,,,40.74685961,,558,35
42101017201,3194,1289,0,0,1,26.44787645,56016.0,0,0,149.3517143,103.0701165,56.26229095,,,69.72427285,,477,37
42101017202,4056,1593,0,0,1,35.80454928,29100.0,0,0,,,,,,,,626,39
42101017300,3165,1164,0,0,1,38.00475059,25691.0,0,0,108.0191362,37.8010582,17.80768903,,,23.86861563,,559,48
42101017400,2419,918,0,0,1,49.4334872,26302.0,0,0,16.90967579,8.145316331,3.381065022,,,4.072588924,,432,47
42101017500,7016,2274,0,0,1,52.25021228,21929.0,0,0,0.970820546,0.602730691,0.0,,,0.223547921,,1429,62
42101017601,5562,1834,0,0,1,55.34274194,18983.0,0,0,,,,,,,,1203,65
42101017602,3914,1199,0,0,1,60.28597786,24056.0,0,0,,,,,,,,880,73
42101017701,3705,1088,0,1,1,56.98080279,22250.0,0,1,2041.998518,1042.56517,72.24396968,,,488.0120792,,679,62
42101017702,5076,1544,0,0,1,62.28915663,17961.0,0,0,,,,,,,,1119,72
42101017800,6704,2059,0,1,1,51.7798765,24318.0,0,1,931.2769022,466.974723,53.41282602,,,271.6537418,,1334,64
42101017900,6313,2095,0,0,1,34.0076224,34722.0,0,0,,,,,,,,1087,51
42101018001,2586,1093,0,0,1,12.75218881,61071.0,0,0,128.2397473,71.47020587,61.14696898,,,30.52101155,,210,19
42101018002,5451,2390,0,1,1,20.56666667,70000.0,0,1,546.4286231,241.1051136,161.0479106,,,113.1591209,,451,18
42101018300,4313,1664,0,0,0,7.468079981,77156.0,0,1,913.0053444,1001.144985,625.6988967,16.63577414,9.704201698,241.778617,4.233543515,227,13
42101018400,2260,869,0,1,1,17.59456014,63650.0,0,1,643.7441116,527.9999968,263.9999991,1.340613149,0.148957016,177.1342948,0.394718219,170,19
42101018800,8322,2483,0,1,1,47.70620673,32693.0,0,1,1434.938028,787.9050277,117.5120621,,,361.0082398,,1334,53
42101019000,7543,2403,0,0,1,29.24601132,36964.0,0,0,,,,,,,,910,37
42101019100,7937,2634,0,0,1,25.16192106,47132.0,0,0,118.0289611,85.38513402,32.52116891,,,27.1497073,,753,28
42101019200,7972,2333,0,1,1,46.75834971,24848.0,0,1,2908.218819,1646.072217,188.8985815,,,859.6493477,,1533,65
42101019501,4927,1584,0,0,1,50.11296882,25988.0,0,0,,,,,,,,888,56
42101019502,3675,1132,0,0,1,48.00511509,22982.0,0,0,21.80528373,8.813331023,1.229503587,,,5.30540687,,660,58
42101019700,7001,2127,0,0,1,39.43702019,30366.0,0,0,,,,,,,,1264,59
42101019800,6195,1925,0,0,1,47.08946078,31206.0,0,0,,,,,,,,1029,53
42101019900,4419,1413,0,1,1,62.79175164,14184.0,0,1,857.2869144,289.8136706,105.9981396,,,241.6573011,,922,65
42101020000,1265,589,0,1,1,50.85959885,35509.0,0,1,1026.364546,234.175845,113.9999999,,,277.9043556,,258,43
42101020101,3547,1562,0,1,1,43.04565849,22413.0,0,1,2492.780547,756.0954878,431.5996602,,,554.2255022,,626,40
42101020102,3353,1317,0,1,1,16.06960082,56557.0,0,1,349.9786248,267.2482474,110.175572,,,141.6301106,,448,34
